position,target,model,is_baseline,mae,rmse,spearman,folds
WR,receptions,two_year_weighted_average,true,12.486282413339083,18.98378022903123,0.6415782538158932,8
RB,fumbles_lost,historical_median_comparable_opportunity,true,0.22653954517629526,0.6508367128573376,,8
QB,fumbles_lost,ridge_baseline,true,0.9211960225361004,1.3240793682185539,0.5568000165178355,8
RB,fantasy_points_ppr,previous_season_per_game,true,35.86240706383719,58.252037572492924,0.6062139827917747,8
QB,passing_tds,previous_season_total,true,4.916627675562638,8.449945247262209,0.632575239675553,8
RB,receiving_yards,position_age_group_average,true,87.62726872856591,124.80570099690348,0.29530710889132616,8
TE,receiving_yards,three_year_weighted_average,true,107.0628582691876,169.24970246398948,0.5985158066680268,8
TE,receptions,previous_season_total,true,10.043480839046856,15.58711838644889,0.6016619622026543,8
RB,receiving_yards,previous_season_per_game,true,66.92083401736957,110.77391328334238,0.5657865560567157,8
WR,receiving_tds,previous_season_total,true,1.1896825427379174,2.097308096627049,0.6035774165658732,8
RB,fantasy_points_ppr,ridge_baseline,true,31.964718946508825,49.779594897781934,0.6768896520961319,8
TE,carries,three_year_weighted_average,true,0.3404781000609305,2.2019045346281962,0.4569120813101141,8
TE,carries,two_year_weighted_average,true,0.3404781000609305,2.2019045346281962,0.4569120813101141,8
WR,fumbles_lost,ridge,false,0.1663584182511471,0.31066701118218537,0.311689592014986,8
TE,targets,elastic_net,false,12.732719907998455,18.473671064164048,0.7281232719983882,8
QB,passing_tds,previous_season_per_game,true,4.916627675562638,8.449945247262209,0.6325248656527391,8
RB,fumbles_lost,previous_season_total,true,0.3607724790065056,0.7645811763970792,0.2996819206464451,8
TE,fumbles_lost,two_year_weighted_average,true,0.15448234066865665,0.4551421328469871,0.14378504989564786,8
RB,carries,two_year_weighted_average,true,34.07752893519018,56.49289354543148,0.5924044116473879,8
TE,rushing_yards,position_age_group_average,true,3.0600582269207175,23.76841529316633,0.052689407073076976,8
WR,rushing_yards,three_year_weighted_average,true,8.202096575692252,21.187106229982952,0.3660311337169601,8
WR,rushing_yards,previous_season_total,true,8.202096575692252,21.187106229982952,0.3660311337169601,8
RB,rushing_tds,elastic_net,false,1.2014060594534621,2.1252062458996406,0.6376538781418956,8
TE,rushing_tds,ridge_baseline,true,0.061785872925150975,0.38438265116156456,0.13693514160722992,8
RB,carries,previous_season_per_game,true,34.07752893519018,56.49289354543148,0.5924080625154179,8
WR,receiving_yards,previous_season_per_game,true,157.0534351086314,241.71466354865015,0.645585851522839,8
RB,receiving_tds,two_year_weighted_average,true,0.5120923106116398,1.1019233944224396,0.35058694379981076,8
TE,carries,position_age_group_average,true,0.6293946151426799,4.50871794111043,0.04189023554209877,8
WR,receiving_yards,three_year_weighted_average,true,157.0534351086314,241.71466354865015,0.6455777412567525,8
TE,rushing_tds,position_age_group_average,true,0.04907626333099142,0.33174406607866885,0.03478167216759452,8
QB,interceptions,previous_season_total,true,3.385280643304622,4.971006900417255,0.4788043113005602,8
WR,receptions,three_year_weighted_average,true,12.486282413339083,18.98378022903123,0.6415782538158932,8
QB,completions,position_age_group_average,true,116.72801996924684,135.19593415146684,0.048506589289674294,8
QB,fantasy_points_ppr,three_year_weighted_average,true,51.268017146652056,83.78185355934656,0.6205105624024588,8
RB,carries,ridge_baseline,true,29.70651071417234,46.51233240434494,0.6636755620340272,8
TE,receiving_yards,ridge,false,99.15599165179103,145.68212060694893,0.725344599662858,8
WR,carries,previous_season_total,true,1.1437384943108122,3.0381213361564607,0.4904133057728768,8
QB,rushing_tds,previous_season_per_game,true,0.7567251848265968,1.5277561503158668,0.5283425769790362,8
WR,fumbles_lost,ridge_baseline,true,0.1623743632989219,0.3142424908130966,0.29722320996013424,8
WR,targets,three_year_weighted_average,true,19.787566708500158,29.447109640598203,0.6373021622758496,8
TE,carries,elastic_net,false,0.5238947759215381,3.618771181053492,0.2693413680979645,8
TE,fantasy_points_ppr,ridge_baseline,true,23.39267574038293,36.22627914284946,0.6694989749362941,8
RB,rushing_tds,ridge,false,1.2184633407287293,2.0858102563784184,0.6352352569929031,8
WR,rushing_tds,ridge,false,0.07851917861677818,0.24171076291360435,0.19148201738057502,8
RB,fumbles_lost,ridge,false,0.3300846852329796,0.5321639671746999,0.45294387373179035,8
TE,rushing_tds,historical_median_comparable_opportunity,true,0.03264575961348868,0.3329447917059021,,8
QB,carries,historical_median_comparable_opportunity,true,12.27753582236111,24.493660439797214,0.601376514684395,8
RB,fantasy_points_ppr,ridge,false,32.33823340959196,48.47419609408887,0.7531319278462406,8
TE,receptions,two_year_weighted_average,true,10.043480839046856,15.58711838644889,0.6016619622026543,8
RB,rushing_tds,position_age_group_average,true,1.6995592359739558,2.788148196205146,0.26292030348786566,8
WR,rushing_tds,three_year_weighted_average,true,0.07073016509883358,0.3357461193635872,0.18603540077694075,8
TE,receptions,previous_season_per_game,true,10.043480839046856,15.58711838644889,0.6016795533611187,8
QB,completions,ridge_baseline,true,62.299786103159676,90.69373707530387,0.6609669713807846,8
RB,receptions,historical_median_comparable_opportunity,true,6.909135408943393,13.489092909824935,0.5918185515208463,8
QB,passing_yards,elastic_net,false,684.9616965465835,982.7906121502708,0.7149266621633036,8
TE,carries,ridge,false,0.5849344401510265,2.877154183807119,0.19851683486378494,8
WR,carries,elastic_net,false,1.1038353695307546,2.5382255597124934,0.48185502291567894,8
TE,receptions,elastic_net,false,8.89494872678141,13.218492240613807,0.7364436436035627,8
TE,receiving_yards,ridge_baseline,true,97.3568460822012,146.47856102176462,0.6654846282699427,8
QB,carries,ridge,false,11.007696185689335,17.60827032221097,0.7299552807939814,8
QB,passing_tds,three_year_weighted_average,true,4.916627675562638,8.449945247262209,0.632575239675553,8
RB,rushing_yards,ridge,false,136.28575143935328,209.82717182573597,0.7222812354852803,8
RB,receiving_tds,elastic_net,false,0.4671214780542765,0.8496447162740454,0.47980775980517154,8
WR,targets,ridge_baseline,true,16.76146491241661,23.5786833652636,0.7215697926847986,8
TE,carries,previous_season_total,true,0.3404781000609305,2.2019045346281962,0.4569120813101141,8
RB,receiving_yards,ridge_baseline,true,57.83141144880549,91.43705704504356,0.6416381064950073,8
TE,receiving_tds,previous_season_total,true,1.0473107462917621,1.815354966818067,0.4975909048941184,8
QB,rushing_tds,historical_median_comparable_opportunity,true,0.6903119136005653,1.803856324124342,0.5033711163291186,8
QB,pass_attempts,ridge,false,94.21786826096624,132.46091487980092,0.7176582851201405,8
QB,passing_tds,elastic_net,false,4.620109055223359,7.194172074070321,0.7062196549811592,8
TE,receptions,ridge_baseline,true,8.871340569261521,13.269729113651437,0.6747098649631527,8
RB,carries,elastic_net,false,30.4018888797113,46.22339700624293,0.7170077790276034,8
WR,fantasy_points_ppr,ridge_baseline,true,30.631342847116493,44.344872463829795,0.7159987520651098,8
QB,rushing_yards,two_year_weighted_average,true,60.558429580647015,111.665995779795,0.5489260635542754,8
RB,receptions,ridge_baseline,true,7.146263109489584,11.2046153559032,0.6521056461286454,8
TE,fumbles_lost,elastic_net,false,0.14748646419068145,0.3002664280046241,0.29560102329102056,8
WR,fumbles_lost,previous_season_total,true,0.18565162707990693,0.4822194159324263,0.11241489578754305,8
TE,targets,ridge,false,12.946446605021368,18.380422488890396,0.7473854187365365,8
WR,receptions,ridge_baseline,true,10.89241849656454,15.67212081918167,0.7160037863420138,8
QB,rushing_yards,ridge_baseline,true,56.80546705519006,97.22722668112566,0.5984199503889384,8
WR,rushing_tds,previous_season_per_game,true,0.07073016509883358,0.3357461193635872,0.18603540077694075,8
RB,targets,elastic_net,false,9.219707603163364,13.894459736300416,0.7162559318349699,8
RB,receiving_yards,three_year_weighted_average,true,66.92083401736957,110.77391328334238,0.5657687666525693,8
QB,passing_tds,historical_median_comparable_opportunity,true,4.302826473999935,8.330434240565813,0.6410343119947667,8
RB,receptions,previous_season_total,true,8.446586270726764,13.78718580539002,0.5726901016296171,8
WR,carries,three_year_weighted_average,true,1.1437384943108122,3.0381213361564607,0.4904133057728768,8
RB,rushing_yards,ridge_baseline,true,133.23827975867698,214.73568653125548,0.653291278095095,8
QB,fantasy_points_ppr,previous_season_per_game,true,51.268017146652056,83.78185355934656,0.6205105624024588,8
RB,fumbles_lost,previous_season_per_game,true,0.3607724790065056,0.7645811763970792,0.2996819206464451,8
TE,rushing_yards,two_year_weighted_average,true,1.7967742530767103,12.966376188885024,0.2334145457378714,8
TE,rushing_tds,three_year_weighted_average,true,0.04339534057636668,0.29426332040102476,0.29683396880552704,8
WR,fantasy_points_ppr,previous_season_per_game,true,34.12068343787019,52.48696492331537,0.649401045963522,8
WR,receiving_yards,position_age_group_average,true,261.20765293502336,337.8935528976392,0.23130548222111513,8
TE,rushing_yards,previous_season_per_game,true,1.7967742530767103,12.966376188885024,0.2334145457378714,8
QB,fantasy_points_ppr,elastic_net,false,48.58523379952785,71.52922365536465,0.69407298954326,8
